,title,character,dialogue
0,Avatar,JAKE,"They can fix a spinal, if you've got the money. But not on vet benefits, not in this economy."
1,Avatar,JAKE,I became a Marine for the hardship. To be hammered on the anvil of life. I told myself I could pass any test a man can pass.
2,Avatar,JAKE,Let's get it straight up front. I don't want your pity. I know the world's a cold-ass bitch.
3,Avatar,JAKE,"You want a fair deal, you're on the wrong planet. The strong prey on the weak."
4,Avatar,JAKE,It's just the way things are. And nobody does a damn thing.
5,Avatar,JAKE,All I ever wanted in my sorry-ass life was a single thing worth fighting for. CUT TO:
6,Avatar,JAKE,I hope you realize you've just lost a customer!
7,Avatar,JAKE,Candy ass bitch.
8,Avatar,JAKE,If it ain't rainin' we ain't trainin'!
9,Avatar,JAKE,Step off. You're ruinin' my good mood.
10,Avatar,JAKE,"The strong prey on the weak. A guy with a knife took all Tommy would ever be, for the paper in his wallet."
11,Avatar,JAKE,"Jesus, Tommy."
12,Avatar,JAKE,The Suits' concern was touching.
13,Avatar,JAKE,"The egghead and the jarhead. Tommy was the scientist, not me. He was the one who wanted to get shot light years out into space to find the answers."
14,Avatar,JAKE,Me -- I was just another dumb grunt gettin' sent someplace I was gonna regret.
15,Avatar,JAKE,Are we there?
16,Avatar,JAKE,What're you two limpdicks starin' at?
17,Avatar,JAKE,Nothing like an old-school safety brief to put your mind at ease. CUT TO:
18,Avatar,JAKE,Yeah.
19,Avatar,JAKE,That's why I'm here.
20,Avatar,JAKE,Damn. They got big.
21,Avatar,JAKE,It looks like him.
22,Avatar,JAKE,The idea is -- every driver is matched to his own avatar --
23,Avatar,JAKE,"-- so their nervous systems are in tune. Or something. Which is why they offered me this gig, because I can link with Tommy's avatar, which was insanely expensive. Is this right? I just say whatever in these videologs?"
24,Avatar,JAKE,"Right. So, whatever. Here I am. Doing science. Never been in a lab before."
25,Avatar,GRACE,Who's got my goddamn cigarette?!
26,Avatar,GRACE,Norm. I hear good things about you. How's your Na'vi?
27,Avatar,GRACE,Not bad. You sound a little formal.
28,Avatar,GRACE,"Yeah, yeah, I know who you are, and I don't need you. I need your brother. You know -- the PhD who trained three years for this mission."
29,Avatar,JAKE,He's dead. I know it's a big inconvenience to everyone.
30,Avatar,GRACE,How much lab training have you had? Ever run a gas chromatograph?
31,Avatar,JAKE,No.
32,Avatar,GRACE,Any actual lab work at all?
33,Avatar,JAKE,High school chemistry. But I ditched.
34,Avatar,GRACE,You see? You see? They're pissing on us without even the courtesy of calling it rain. I'm going to Selfridge.
35,Avatar,GRACE,"Parker, I used to think it was benign neglect, but now I see you're intentionally screwing us."
36,Avatar,GRACE,"I need a research assistant, not some jarhead dropout."
37,Avatar,GRACE,Lucky? How is this in any way lucky?
38,Avatar,GRACE,The last thing I need is another trigger happy asshole out there!
39,Avatar,GRACE,That tends to happen when you use machine guns on them.
40,Avatar,GRACE,How much link time have you logged?
41,Avatar,JAKE,Like -- an hour.
42,Avatar,GRACE,Tell me you're joking.
43,Avatar,JAKE,Don't! I got this.
44,Avatar,GRACE,"So you just figured you'd come out here to the most hostile environment known to man, with no training of any kind, and see how it went? What was going through your head?"
45,Avatar,JAKE,Maybe I was just tired of doctors telling me what I couldn't do.
46,Avatar,GRACE,Relax and let your mind go blank. That shouldn't be hard for you.
47,Avatar,JAKE,Kiss the darkest part of my lily white --
48,Avatar,GRACE,"Go figure. Alright, I'm going in."
49,Avatar,GRACE,Hey Marine!
50,Avatar,JAKE,Grace?
51,Avatar,GRACE,"Well who'd you expect, numbnuts? Think fast!"
52,Avatar,GRACE,Motor control is looking good.
53,Avatar,JAKE,That's kinda freaky.
54,Avatar,GRACE,Lights out amigos. See ya' at dinner.
55,Avatar,GRACE,Damn. Same old sack a' bones.
